Municipio;Taxa de Incidencia de Tuberculose ;Taxa de mortalidade ;Taxa de incidencia tuberculose bacilífera ;Casos Brancos;Casos Amarelos;Casos Ignorado;Casos Indigena;Cassos Parda;Casos Negros;Óbitos Brancos;Óbitos Amarelos;Óbitos Ignorado;Óbitos Indigena;Óbitos Parda;Óbitos Negros;(%) Casos Bacilíferos Curados ;(%) Casos de Retratamento que Realizaram cultura (*) ;(%) Casos com teste HIV realizado ;Acesso a Saúde Básica (PSF);% Renda Percapta 1/2 Salário Minimo [2010];(%) Taxa de escolarização de 6 a 14 anos de idade (2010);IDH-M(2010); Esgotamento Sanitário Adequado [2010];Média de Moradores em Domicílios Particulares Ocupados [2010];GINI [2010];;;;
95;43,83833333;38,46;37,54;100;;;;100;100;;;;;100;;100;;100;99,84071429;50;98,5;0,622;0,007;0,0347;0,4374;;;;
96;31,55181818;13,15;16,63;44,04666667;;;;78,13909091;36,11;;;;;100;;93,75;;63,88833333;99,07857143;48,7;97,8;0,579;0,101;0,0341;0,4906;;;;
97;25,69363636;6,4225;25,26111111;45,64333333;12,5;;;72,17888889;41,0025;100;;;;;;86,86125;83,33;85,71333333;97,42285714;48,9;97,8;0,567;0,576;"3,73  
";0,5131;;;;
98;;;;75;;;;93,75;66,66666667;;;;;;;100;100;83,33333333;99,64;48,8;96,2;0,617;0,635;0,035;0,4814;;;;
99;35,87923077;#REF!;#REF!;#REF!;#REF!;#REF!;#REF!;#REF!;#REF!;#REF!;#REF!;#REF!;#REF!;#REF!;;#REF!;#REF!;#REF!;#REF!;51,2;97,5;0,548;0,073;"3,52  
";0,5403;;;;
100;;;;90;;;;75;25;;;;;;;90;;50;97,605;54,5;97,2;0,57;0,237;0,0362;0,5185;;;;
101;25,07333333;21,9525;21,09666667;90;;;;75;;100;;;;100;100;100;;100;97,77;55,9;93,8;97,2;0,169;0,0356;0,4543;;;;
102;20,14;14,115;17,79142857;50;;;;86,36363636;;100;;;;100;;100;;90;99,15142857;51,9;97,6;0,57;0,199;0,0339;0,5308;;;;
103;14,03076923;6,463333333;7,098333333;57,024;20,835;14,29;;54,0675;25;100;;;;100;;87;50;66,662;99,73714286;46,2;97,4;0,627;0,524;"3,60  
";0,5561;;;;
104;83,08714286;34,49666667;78,18;87,5;;;;77,5;40;;;;;100;100;75;100;60;99,91928571;54;98,1;0,533;0,136;0,0385;0,4533;;;;
